"Dato";"Åbning";"Høj";"Lav";"Luk";"Volumen";"Markedsværdi";"Ændring, %"
"2026-02-11";"12704.2";"12753.74";"11982.16";"12216.97";"144.42B";"1.47T";"-3.77"
"2026-02-12";"12219.92";"12580.69";"11949.57";"12259.77";"130.22B";"1.48T";"+0.35"
"2026-02-13";"12243.89";"13030.46";"12126.75";"12897.82";"131.07B";"1.56T";"+5.20"
"2026-02-14";"12892.23";"13254.79";"12860.64";"13130.19";"107.52B";"1.58T";"+1.80"
"2026-02-15";"13131.26";"13231.9";"12140.89";"12378.53";"161.44B";"1.49T";"-5.72"
"2026-02-16";"12371.86";"12740.98";"12226.33";"12601.32";"141.35B";"1.52T";"+1.80"
"2026-02-17";"12598.23";"12702.55";"12285.5";"12555.34";"127.99B";"1.52T";"-0.36"
"2026-02-18";"12557.27";"12861.1";"12202.18";"12398.83";"122.19B";"1.50T";"-1.25"
"2026-02-19";"12386.71";"12588.02";"12120.37";"12373.42";"120.44B";"1.49T";"-0.20"
"2026-02-20";"12365.36";"12547.33";"12221.59";"12484.03";"135.37B";"1.51T";"+0.89"
"2026-02-21";"12478.73";"12657.91";"12402.04";"12518.09";"80.19B";"1.51T";"+0.27"
"2026-02-22";"12512.25";"12573.72";"12271.03";"12361.55";"59.98B";"1.49T";"-1.25"
"2026-02-23";"12362.96";"12363.47";"11643.32";"11760.91";"138.19B";"1.42T";"-4.86"
"2026-02-24";"11771.59";"11844.31";"11422.81";"11749.31";"123.98B";"1.42T";"-0.10"
"2026-02-25";"11751.64";"13467.86";"11715.69";"13007.31";"146.93B";"1.57T";"+10.71"
"2026-02-26";"12992.31";"13195.68";"12538";"12836.67";"177.46B";"1.55T";"-1.31"
"2026-02-27";"12827.86";"13060.01";"11940.35";"12201.79";"136.45B";"1.47T";"-4.95"
"2026-02-28";"12199.69";"12546.52";"11611.34";"12427.89";"123.97B";"1.50T";"+1.85"
"2026-03-01";"12433.52";"12977.15";"12121.52";"12319.04";"144.55B";"1.49T";"-0.88"
